goos: darwin
goarch: arm64
pkg: github.com/imajinyun/gofly/bench
cpu: Apple M4 Pro
BenchmarkHTTPGovernance/enabled-14          	  736838	      1623 ns/op	    2920 B/op	      28 allocs/op
BenchmarkHTTPGovernance/enabled-14          	  755734	      1607 ns/op	    2920 B/op	      28 allocs/op
BenchmarkRPCUnary/gofly_rpc-14              	   17726	     64197 ns/op	   15073 B/op	     161 allocs/op
BenchmarkRPCUnary/gofly_rpc-14              	   20348	     58275 ns/op	   15126 B/op	     161 allocs/op
BenchmarkRPCUnary/gofly_rpc-14              	   20788	     59626 ns/op	   15118 B/op	     161 allocs/op
BenchmarkRPCUnary/gofly_rpc-14              	   19734	     60744 ns/op	   15137 B/op	     161 allocs/op
BenchmarkRPCUnary/gofly_rpc-14              	   19977	     60162 ns/op	   15173 B/op	     161 allocs/op
BenchmarkRPCUnary/grpc_go-14                	   81489	     14053 ns/op	    8857 B/op	     147 allocs/op
BenchmarkRPCUnary/grpc_go-14                	   85828	     13840 ns/op	    8771 B/op	     147 allocs/op
BenchmarkRPCUnary/grpc_go-14                	   79093	     14750 ns/op	    8751 B/op	     147 allocs/op
BenchmarkRPCUnary/grpc_go-14                	   88897	     13462 ns/op	    8738 B/op	     147 allocs/op
BenchmarkRPCUnary/grpc_go-14                	   90126	     13690 ns/op	    8723 B/op	     147 allocs/op
BenchmarkRPCStreamGovernance-14    	    2506	    414949 ns/op	   28699 B/op	     150 allocs/op
BenchmarkRPCStreamGovernance-14    	    2739	    376242 ns/op	   28616 B/op	     149 allocs/op
BenchmarkRPCStreamGovernance-14    	    3313	    378709 ns/op	   28614 B/op	     149 allocs/op
BenchmarkRPCStreamGovernance-14    	    3434	    392031 ns/op	   28584 B/op	     149 allocs/op
BenchmarkRPCStreamGovernance-14    	    2856	    380096 ns/op	   28573 B/op	     149 allocs/op
PASS
ok  	github.com/imajinyun/gofly/bench	204.811s
